local;numero
Vila Nova da Barquinha;1
Beiras e Serra da Estrela;16
Almeida;1
Belmonte;2
Celorico da Beira;0
Covilhã;3
Figueira de Castelo Rodrigo;0
Fornos de Algodres;0
Fundão;1
Gouveia;2
Guarda;2
Manteigas;0
Mêda;0
Pinhel;0
Sabugal;1
Seia;3
Trancoso;1
Área Metropolitana de Lisboa;84
Área Metropolitana de Lisboa;84
Alcochete;1
Almada;2
Amadora;2
Barreiro;0
Cascais;8
Lisboa;44
Loures;3
Mafra;1
Moita;0
Montijo;1
Odivelas;0
Oeiras;1
Palmela;2
Seixal;1
Sesimbra;1
Setúbal;4
Sintra;10
Vila Franca de Xira;3
Alentejo;55
Alentejo Litoral;4
Alcácer do Sal;0
Grândola;2
Odemira;0
Santiago do Cacém;1
Sines;1
Baixo Alentejo;12
Aljustrel;0
Almodôvar;2
Alvito;0
Barrancos;1
Beja;1
Castro Verde;2
Cuba;1
Ferreira do Alentejo;1
Mértola;1
Moura;1
Ourique;0
Serpa;1
Vidigueira;1
Lezíria do Tejo;8
Almeirim;1
Alpiarça;1
Azambuja;1
Benavente;0
Cartaxo;1
Chamusca;0
Coruche;1
Golegã;1
Rio Maior;0
Salvaterra de Magos;0
Santarém;2
Alto Alentejo;15
Alter do Chão;1
Arronches;1
Avis;1
Campo Maior;1
Castelo de Vide;0
Crato;0
Elvas;4
Fronteira;1
Gavião;0
Marvão;1
Monforte;0
Nisa;1
Ponte de Sor;0
Portalegre;3
Sousel;1
Alentejo Central;16
Alandroal;0
Arraiolos;1
Borba;0
Estremoz;2
Évora;4
Montemor-o-Novo;1
Mora;1
Mourão;1
Portel;0
Redondo;3
Reguengos de Monsaraz;0
Vendas Novas;0
Viana do Alentejo;0
Vila Viçosa;3
Algarve;15
Algarve;15
Albufeira;1
Alcoutim;1
Aljezur;1
Castro Marim;0
Faro;2
Lagoa;0
Lagos;2
Loulé;2
Monchique;0
Olhão;1
Portimão;1
São Brás de Alportel;1
Silves;2
Tavira;1
Vila do Bispo;0
Vila Real de Santo António;0
Região Autónoma dos Açores;19
Região Autónoma dos Açores;19
Região Autónoma dos Açores;19
Angra do Heroísmo;1
Calheta;1
Corvo;0
Horta;3
Lagoa;2
Lajes das Flores;0
Lajes do Pico;1
Madalena;0
Nordeste;0
Ponta Delgada;2
Povoação;1
Ribeira Grande;4
Santa Cruz da Graciosa;1
Santa Cruz das Flores;1
São Roque do Pico;0
Velas;0
Vila da Praia da Vitória;0
Vila do Porto;1
Vila Franca do Campo;1
Região Autónoma da Madeira;18
Região Autónoma da Madeira;18
Região Autónoma da Madeira;18
Calheta;1
Câmara de Lobos;1
Funchal;10
Machico;2
Ponta do Sol;0
Porto Moniz;0
Porto Santo;1
Ribeira Brava;1
Santa Cruz;0
Santana;1
São Vicente;1
